timestamp,sim_time_s,cars_alive,total_spawned,cars_exited,waiting_v,waiting_h,ped_waiting,priority
1762474876.957635,1.01,0,0,0,0,0,0,1.67
1762474877.9635422,2.01,4,6,2,0,0,0,1.67
1762474878.9767957,3.02,8,14,6,1,0,0,3.27
1762474879.9790268,4.03,10,16,6,2,0,0,4.12
1762474880.9952261,5.04,10,16,6,5,0,0,4.82
1762474881.994921,6.04,10,16,6,5,0,0,4.94
1762474882.9963703,7.05,10,16,6,5,0,0,5.00
1762474884.002224,8.05,10,16,6,5,0,0,5.00
1762474885.0133755,9.06,11,21,10,3,0,0,1.67
1762474886.0215435,10.07,10,23,13,1,1,0,3.24
1762474887.0271916,11.08,10,23,13,0,3,0,4.18
1762474888.0429115,12.09,10,23,13,0,5,0,4.45
1762474889.0541337,13.10,10,23,13,0,5,0,4.66
1762474890.066005,14.12,6,23,17,0,5,0,4.83
1762474891.0714488,15.12,5,23,18,0,5,0,4.95
1762474892.074824,16.12,5,23,18,0,5,0,5.00
1762474893.0831118,17.13,5,23,18,0,5,0,5.00
1762474894.093532,18.14,5,23,18,0,3,0,1.67
1762474895.1018255,19.15,5,23,18,0,0,0,1.67
1762474896.1078134,20.16,5,23,18,0,0,0,1.67
1762474897.1163073,21.16,5,23,18,0,0,0,1.67
1762474898.11854,22.17,4,23,19,0,0,0,1.67
1762474899.1263108,23.17,0,23,23,0,0,0,1.67
1762474900.1311378,24.18,0,23,23,0,0,0,1.67
1762474901.1459305,25.19,0,23,23,0,0,0,1.67
1762474902.14837,26.20,0,23,23,0,0,0,1.67
1762474903.161442,27.21,0,23,23,0,0,0,1.67
1762474904.173294,28.22,2,25,23,0,0,0,1.67
1762474905.1811805,29.23,2,25,23,0,0,0,1.67
1762474906.1829164,30.23,2,25,23,0,0,0,1.67
1762474907.1907275,31.24,2,25,23,0,0,0,1.67
1762474908.1972234,32.25,2,25,23,0,0,0,1.67
1762474909.2098396,33.26,4,27,23,0,0,0,1.67
1762474910.2249157,34.27,3,27,24,0,0,0,1.67
1762474911.2310474,35.28,2,27,25,0,0,0,1.67
1762474912.2410302,36.29,2,27,25,0,0,0,1.67
1762474913.2502508,37.30,4,29,25,0,0,0,1.67
1762474914.2627897,38.31,4,29,25,1,0,0,3.27
1762474915.2730207,39.32,4,29,25,2,0,0,4.12
1762474916.2885807,40.34,3,30,27,2,0,0,4.12
1762474917.2999272,41.35,3,30,27,2,0,0,4.12
1762474918.308437,42.36,3,30,27,3,0,0,4.62
1762474919.3227096,43.37,3,30,27,3,0,0,4.62
1762474920.327828,44.38,3,30,27,3,0,0,4.62
1762474921.3316855,45.38,3,30,27,3,0,0,4.62
1762474922.341868,46.39,3,30,27,3,0,0,4.62
1762474923.347061,47.40,3,30,27,3,0,0,4.62
1762474924.3586493,48.41,3,30,27,3,0,0,4.62
1762474925.3682568,49.42,3,30,27,3,0,0,4.62
1762474926.3755188,50.43,3,30,27,3,0,0,4.62
1762474927.3885067,51.44,3,30,27,3,0,0,4.62
1762474928.401729,52.45,3,30,27,3,0,0,4.62
1762474929.4082396,53.46,3,30,27,3,0,0,4.62
1762474930.4142978,54.46,3,30,27,3,0,0,4.62
1762474931.419581,55.47,3,30,27,3,0,0,4.62
1762474932.4244602,56.47,3,30,27,3,0,0,4.62
1762474933.4384253,57.49,3,30,27,3,0,0,4.62
1762474934.4429917,58.49,3,30,27,3,0,0,4.62
1762474935.4577074,59.51,3,30,27,3,0,0,4.62
1762474936.4622505,60.51,3,30,27,3,0,0,4.62
1762474937.4732502,61.52,3,30,27,3,0,0,4.62
1762474938.4857304,62.54,3,30,27,3,0,0,4.62
1762474939.4963784,63.55,3,30,27,3,0,0,4.62
1762474940.4974966,64.55,3,30,27,3,0,0,4.62
1762474941.50773,65.56,3,30,27,3,0,0,4.62
1762474942.5220828,66.57,3,30,27,3,0,0,4.62
1762474943.5278487,67.58,3,30,27,3,0,0,4.62
1762474944.532221,68.58,3,30,27,3,0,0,4.62
1762474945.5371842,69.59,3,30,27,3,0,0,4.62
1762474946.5484095,70.60,3,30,27,3,0,0,4.62
1762474947.5574741,71.61,3,30,27,3,0,0,4.62
1762474948.5618532,72.61,3,30,27,3,0,0,4.62
1762474949.5723085,73.62,3,30,27,3,0,0,4.62
1762474950.5788567,74.63,3,30,27,3,0,0,4.62
1762474951.5885203,75.64,3,30,27,3,0,0,4.62
1762474952.5943816,76.64,3,30,27,3,0,0,4.62
1762474953.6058593,77.66,3,30,27,3,0,0,4.62
1762474954.6224594,78.67,3,30,27,3,0,0,4.62
1762474955.6230261,79.67,3,30,27,3,0,0,4.62
1762474956.633287,80.68,3,30,27,3,0,0,4.62
1762474957.6354969,81.69,3,30,27,3,0,0,4.62
1762474958.6432974,82.69,3,30,27,3,0,0,4.62
1762474959.6562762,83.71,3,30,27,3,0,0,4.62
1762474960.6707933,84.72,3,30,27,3,0,0,4.62
1762474961.6822157,85.73,3,30,27,3,0,0,4.62
1762474962.6953292,86.75,3,30,27,3,0,0,4.62
1762474963.6963782,87.75,3,30,27,3,0,0,4.62
1762474964.6967535,88.75,3,30,27,3,0,0,4.62
1762474965.7091887,89.76,3,30,27,3,0,0,4.62
1762474966.8913677,90.94,3,30,27,3,0,0,4.62
1762474967.9023595,91.95,3,30,27,3,0,0,4.62
1762474968.905941,92.96,3,30,27,3,0,0,4.62
1762474969.906058,93.96,3,30,27,3,0,0,4.62
1762474970.9104416,94.96,3,30,27,3,0,0,4.62
1762474971.9176207,95.97,3,30,27,3,0,0,4.62
1762474972.9329803,96.98,3,30,27,3,0,0,4.62
1762474973.9408493,97.99,3,30,27,3,0,0,4.62
1762474974.9568493,99.01,3,30,27,3,0,0,4.62
1762474975.972819,100.02,3,30,27,3,0,0,4.62
1762474976.973961,101.02,3,30,27,3,0,0,4.62
1762474977.9852612,102.04,3,30,27,3,0,0,4.62
1762474978.9953754,103.05,3,30,27,3,0,0,4.62
1762474980.006968,104.06,3,30,27,3,0,0,4.62
1762474981.0069888,105.06,3,30,27,3,0,0,4.62
1762474982.0211763,106.07,3,30,27,3,0,0,4.62
1762474983.0331304,107.08,3,30,27,3,0,0,4.62
1762474984.0403643,108.09,3,30,27,3,0,0,4.62
1762474985.0555491,109.11,3,30,27,3,0,0,4.62
1762474986.0585694,110.11,3,30,27,3,0,0,4.62
1762474987.0628853,111.11,3,30,27,3,0,0,4.62
1762474988.0773177,112.13,3,30,27,3,0,0,4.62
1762474989.0789652,113.13,3,30,27,3,0,0,4.62
1762474990.0930455,114.14,3,30,27,3,0,0,4.62
1762474991.107225,115.16,3,30,27,3,0,0,4.62
1762474992.1229596,116.17,3,30,27,3,0,0,4.62
1762474993.1237934,117.17,3,30,27,3,0,0,4.62
1762474994.1342158,118.18,3,30,27,3,0,0,4.62
1762474995.1414769,119.19,3,30,27,3,0,0,4.62
1762474996.157001,120.21,3,30,27,3,0,0,4.62
1762474997.1693408,121.22,3,30,27,3,0,0,4.62
1762474998.1842377,122.23,3,30,27,3,0,0,4.62
1762474999.1870008,123.24,3,30,27,3,0,0,4.62
1762475000.1904864,124.24,3,30,27,3,0,0,4.62
1762475001.2018058,125.25,3,30,27,3,0,0,4.62
1762475002.215326,126.27,3,30,27,3,0,0,4.62
1762475003.2228055,127.27,3,30,27,3,0,0,4.62
1762475004.2301095,128.28,3,30,27,3,0,0,4.62
1762475005.239477,129.29,3,30,27,3,0,0,4.62
1762475006.2556574,130.31,3,30,27,3,0,0,4.62
1762475007.264429,131.31,3,30,27,3,0,0,4.62
1762475008.2734592,132.32,3,30,27,3,0,0,4.62
1762475009.2817602,133.33,3,30,27,3,0,0,4.62
1762475010.2930734,134.34,3,30,27,3,0,0,4.62
1762475011.2949939,135.34,3,30,27,3,0,0,4.62
1762475012.3093002,136.36,3,30,27,3,0,0,4.62
1762475013.3159447,137.37,3,30,27,3,0,0,4.62
1762475014.331453,138.38,3,30,27,3,0,0,4.62
1762475015.3408604,139.39,3,30,27,3,0,0,4.62
1762475016.3578973,140.41,3,30,27,3,0,0,4.62
1762475017.3689551,141.42,3,30,27,3,0,0,4.62
1762475018.3756845,142.43,3,30,27,3,0,0,4.62
1762475019.380404,143.43,3,30,27,3,0,0,4.62
1762475020.3926945,144.44,3,30,27,3,0,0,4.62
1762475021.398012,145.45,3,30,27,3,0,0,4.62
1762475022.4017894,146.45,3,30,27,3,0,0,4.62
1762475023.41326,147.46,3,30,27,3,0,0,4.62
1762475024.4234042,148.47,3,30,27,3,0,0,4.62
1762475025.4401782,149.49,3,30,27,3,0,0,4.62
1762475026.4450321,150.49,3,30,27,3,0,0,4.62
1762475027.454428,151.50,3,30,27,3,0,0,4.62
1762475028.46385,152.51,3,30,27,3,0,0,4.62
1762475029.4734967,153.52,3,30,27,3,0,0,4.62
1762475030.483154,154.53,3,30,27,3,0,0,4.62
1762475031.4957,155.55,3,30,27,3,0,0,4.62
1762475032.505343,156.55,3,30,27,3,0,0,4.62
1762475033.5152006,157.56,3,30,27,3,0,0,4.62
1762475034.5256777,158.58,3,30,27,3,0,0,4.62
1762475035.5306387,159.58,3,30,27,3,0,0,4.62
1762475036.5444443,160.59,3,30,27,3,0,0,4.62
1762475037.5562782,161.61,3,30,27,3,0,0,4.62
1762475038.572493,162.62,3,30,27,3,0,0,4.62
1762475039.5877934,163.64,3,30,27,3,0,0,4.62
1762475040.6010644,164.65,3,30,27,3,0,0,4.62
1762475041.6115382,165.66,3,30,27,3,0,0,4.62
1762475042.6186645,166.67,3,30,27,3,0,0,4.62
1762475043.6235049,167.67,3,30,27,3,0,0,4.62
1762475044.640721,168.69,3,30,27,3,0,0,4.62
1762475045.6439278,169.69,3,30,27,3,0,0,4.62
1762475046.646192,170.70,3,30,27,3,0,0,4.62
1762475047.6585639,171.71,3,30,27,3,0,0,4.62
1762475048.6721687,172.72,3,30,27,3,0,0,4.62
1762475049.6860445,173.74,3,30,27,3,0,0,4.62
1762475050.687244,174.74,3,30,27,3,0,0,4.62
1762475051.7024302,175.75,3,30,27,3,0,0,4.62
1762475052.7055564,176.76,3,30,27,3,0,0,4.62
1762475053.7212293,177.77,3,30,27,3,0,0,4.62
1762475054.7217343,178.77,3,30,27,3,0,0,4.62
1762475055.7336347,179.78,3,30,27,3,0,0,4.62
1762475056.7349837,180.78,3,30,27,3,0,0,4.62
1762475057.743987,181.79,3,30,27,3,0,0,4.62
1762475058.753926,182.80,3,30,27,3,0,0,4.62
1762475059.7570932,183.81,3,30,27,3,0,0,4.62
1762475060.7669485,184.82,3,30,27,3,0,0,4.62
1762475061.7832625,185.83,3,30,27,3,0,0,4.62
1762475062.7948413,186.84,3,30,27,3,0,0,4.62
1762475063.8095946,187.86,3,30,27,3,0,0,4.62
1762475064.8210013,188.87,3,30,27,3,0,0,4.62
1762475065.8380833,189.89,3,30,27,3,0,0,4.62
1762475066.8481226,190.90,3,30,27,3,0,0,4.62
1762475067.863789,191.91,3,30,27,3,0,0,4.62
1762475068.879154,192.93,3,30,27,3,0,0,4.62
1762475069.890833,193.94,3,30,27,3,0,0,4.62
1762475070.9002736,194.95,3,30,27,3,0,0,4.62
1762475071.9089525,195.96,3,30,27,3,0,0,4.62
1762475072.922904,196.97,3,30,27,3,0,0,4.62
1762475073.9347563,197.98,3,30,27,3,0,0,4.62
